Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
HYLN,Hyliion Holdings Corp. Class A Common Stock,$1.57,0.07,4.667%,275115487.00,United States,2019,1026570,Consumer Discretionary,Construction/Ag Equipment/Trucks
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.41,-0.01,-0.226%,0.00,United States,1985,28100,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$0.6043,0.0034,0.566%,490304129.00,Canada,2022,6970538,Basic Materials,Precious Metals
IBO,Impact BioMedical Inc. Common Stock,$0.4711,-0.0269,-5.402%,5693438.00,,2024,246060,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$13.57,-0.10,-0.732%,190697473.00,United States,2022,406264,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$7.93,0.13,1.667%,1051441222.00,Canada,2022,453515,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.3066,0.0052,1.725%,24431472.00,United States,,134847,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.24,-0.065,-2.82%,19630206.00,United States,1999,7142,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$73.54,0.58,0.795%,37435169300.00,Canada,1929,477205,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.57,0.09,3.629%,35748798.00,,2019,234797,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$6.11,0.18,3.035%,128158863.00,United States,,100367,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$11.00,-0.50,-4.348%,47459038.00,,2022,10303,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$6.15,-0.21,-3.302%,76830775.00,United States,1997,13707,Industrials,Electrical Products
INUV,Inuvo Inc.,$0.40,-0.0077,-1.889%,57701374.00,United States,,908334,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$18.40,-0.04,-0.217%,74817675.00,United States,1987,459,Real Estate,Real Estate Investment Trusts
ISOU,IsoEnergy Ltd. Common Shares,$7.67,0.08,1.054%,368755016.00,,2025,16061,,
ITP,IT Tech Packaging Inc. Common Stock,$0.205,-0.001,-0.485%,2063514.00,China,,2290402,Consumer Discretionary,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$1.75,-0.13,-6.915%,295753133.00,,,1568946,Basic Materials,Precious Metals
JOB,GEE Group Inc. Common Stock,$0.195,-0.0048,-2.402%,21335583.00,United States,1968,112014,Consumer Discretionary,Diversified Commercial Services
KAPA,Kairos Pharma Ltd. Common Stock,$0.473,-0.0295,-5.871%,7969722.00,,2024,814671,Health Care,Biotechnology: Pharmaceutical Preparations
KNW,Know Labs Inc. Common Stock,$1.56,1.05,205.882%,11700000.00,,,107817466,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$1.18,0.08,7.273%,352190275.00,United States,,13491652,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$0.6752,0.0182,2.77%,154186167.00,United States,,874219,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGT,Legato Merger Corp. III Ordinary Shares,$10.62,0.00,0.00%,0.00,,2024,2,,
LEU,Centrus Energy Corp. Class A Common Stock,$143.11,6.77,4.966%,2335278425.00,United States,2014,995084,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGCY,Legacy Education Inc. Common Stock,$9.49,0.18,1.933%,117491486.00,,2024,105304,Real Estate,Other Consumer Services
LGL,LGL Group Inc. (The) Common Stock,$6.74,0.13,1.967%,36323282.00,United States,1946,1682,Technology,Industrial Machinery/Components
LGPS,LogProstyle Inc. Common Shares,$0.9707,0.0117,1.22%,23444453.00,,2025,125520,Consumer Discretionary,Homebuilding
LODE,Comstock Inc. Common Stock,$3.52,0.32,10.00%,100716268.00,United States,,1404662,Industrials,Major Chemicals
LPA,Logistic Properties of the Americas Ordinary Shares,$7.92,0.07,0.892%,250815320.00,,2024,30463,Finance,Real Estate
LSF,Laird Superfood Inc. Common Stock,$6.71,0.03,0.449%,70396187.00,,2020,29602,Consumer Staples,Packaged Foods
LUD,Luda Technology Group Limited Ordinary Shares,$4.59,0.16,3.612%,104147100.00,,2025,9846,,
LXFR,Luxfer Holdings PLC Ordinary Shares,$11.83,0.37,3.229%,316640656.00,United Kingdom,2012,81950,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$21.18,-0.01,-0.047%,2191357735.00,Canada,,2821877,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$1.80,-0.15,-7.692%,54553163.00,,2022,315411,Health Care,Biotechnology: Pharmaceutical Preparations
MCRP,Micropolis Holding Company Ordinary Shares,$3.24,0.12,3.846%,113038568.00,,2025,107852,,
MGLD,The Marygold Companies Inc. Common Stock,$0.8844,0.029,3.39%,37884823.00,,2022,533,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$6.51,0.04,0.618%,76587865.00,United States,,11030,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$2.38,0.00,0.00%,12055057.00,,2023,7799,Consumer Discretionary,Other Specialty Stores
MITQ,Moving iMage Technologies Inc. Common Stock,$0.551,-0.0096,-1.712%,5473457.00,United States,2021,7923,Consumer Discretionary,Industrial Machinery/Components
MLSS,Milestone Scientific Inc. Common Stock,$0.9125,0.0075,0.829%,71610555.00,United States,2015,277198,Health Care,Industrial Specialties
MMA,Mixed Martial Arts Group Limited Ordinary Shares,$1.10,-0.1015,-8.448%,11310955.00,,2024,90431,Consumer Discretionary,Other Consumer Services
MPTI,M-tron Industries Inc. Common Stock,$46.64,1.88,4.20%,136064225.00,United States,2022,33143,Technology,Industrial Machinery/Components
MPU,Mega Matrix Inc. Class A Ordinary Shares,$0.867,-0.019,-2.144%,33424432.00,United States,1998,109194,Consumer Discretionary,Diversified Commercial Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$2.81,0.01,0.357%,214246649.00,,2021,53725,Consumer Discretionary,Rental/Leasing Companies
